number,title,author,reviewState,submittedAt,reviewDecision
6680,fix: allow passing a callback as paramsSerializer to buildURL,guuido,COMMENTED,2024-11-12T13:50:57Z,APPROVED
6680,fix: allow passing a callback as paramsSerializer to buildURL,guuido,COMMENTED,2024-11-12T13:53:37Z,APPROVED
6680,fix: allow passing a callback as paramsSerializer to buildURL,guuido,COMMENTED,2024-11-12T14:40:01Z,APPROVED
6680,fix: allow passing a callback as paramsSerializer to buildURL,guuido,APPROVED,2024-11-12T15:10:10Z,APPROVED
6672,Update gulpfile.js,Cgarg547,CHANGES_REQUESTED,2024-10-31T20:35:04Z,CHANGES_REQUESTED
6668,fix(core): fixed config merging bug,Aakash-Rana,CHANGES_REQUESTED,2024-10-25T19:47:08Z,APPROVED
6668,fix(core): fixed config merging bug,Aakash-Rana,APPROVED,2024-10-30T14:32:35Z,APPROVED
6661,fix(http): send minimal end multipart boundary,igstan,APPROVED,2025-03-26T18:15:45Z,APPROVED
6644,fix: fixed width form to not shrink after 'Send Request' button is cl…,echelonnought,APPROVED,2024-10-13T15:00:12Z,APPROVED
6644,fix: fixed width form to not shrink after 'Send Request' button is cl…,echelonnought,APPROVED,2024-11-08T09:33:08Z,APPROVED
6637,Update server.js,shrivalidutt,APPROVED,2024-11-11T14:56:03Z,APPROVED
6617,Update client.html,aayushkrishnaut,COMMENTED,2024-11-08T09:48:30Z,
6590,fix(types): add missing types for mergeConfig function,Baoyx007,APPROVED,2024-09-09T14:57:48Z,
6585,[Release] v1.7.7,github-actions,COMMENTED,2024-08-31T21:56:54Z,
6585,[Release] v1.7.7,github-actions,COMMENTED,2024-10-16T23:47:55Z,
6585,[Release] v1.7.7,github-actions,COMMENTED,2024-10-16T23:49:01Z,
6585,[Release] v1.7.7,github-actions,COMMENTED,2024-10-16T23:50:34Z,
6573,fix(core): add the missed implementation of AxiosError#status property;,DigitalBrainJS,COMMENTED,2024-08-23T12:48:18Z,
6543,fix(sec): CVE-2024-39338 (#6539),levpachmanov,COMMENTED,2024-08-13T18:23:10Z,
6543,fix(sec): CVE-2024-39338 (#6539),levpachmanov,COMMENTED,2024-08-13T18:35:35Z,
6543,fix(sec): CVE-2024-39338 (#6539),levpachmanov,COMMENTED,2024-08-13T18:39:46Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T17:39:47Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T19:34:11Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T19:43:17Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T19:43:52Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T19:46:06Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T20:06:49Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T21:33:19Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T21:37:41Z,
6539,fix(sec): disregard protocol-relative URL to remediate SSRF,hainenber,APPROVED,2024-08-12T22:56:18Z,
