number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6754,[Chore] Update sponsor block,github-actions,0,0,0
6749,[Chore] Update sponsor block,github-actions,0,0,0
6748,[Chore] Update sponsor block,github-actions,0,0,0
6746,[Chore] Update sponsor block,github-actions,0,0,0
6742,[Chore] Update sponsor block,github-actions,0,0,0
6740,[Chore] Update sponsor block,github-actions,0,0,0
6732,"Revert ""Update axios.js expose the formDataToStream for public use""",jasonsaayman,0,0,0
6731,Update axios.js expose the formDataToStream for public use,unknown,5,0,1
6730,[Release] v1.7.9,github-actions,0,0,1
6729,"Revert ""fix(types): export CJS types from ESM""",jasonsaayman,0,0,0
6715,[Release] v1.7.8,github-actions,0,0,0
6714,fix: use URL API instead of DOM to fix a potential vulnerability warning;,DigitalBrainJS,4,0,0
6709,[Chore] Update sponsor block,github-actions,0,0,0
6708,fix: Regular Expression Denial of Service (ReDoS),qiongshusheng,1,0,1
6707,[Chore] Update sponsor block,github-actions,0,0,0
6705,[Chore] Update sponsor block,github-actions,0,0,0
6704,chore(deps): bump cookie and socket.io,dependabot,0,0,0
6703,[Chore] Update sponsor block,github-actions,0,0,0
6702,"chore(deps): bump cookie, express and socket.io",dependabot,1,0,0
6701,chore(deps-dev): bump body-parser and express,dependabot,1,0,0
6700,chore(deps): bump serve-static and express,dependabot,1,0,0
6699,chore(deps): bump send and express,dependabot,0,0,0
6698,chore(deps-dev): bump elliptic from 6.5.4 to 6.6.0,dependabot,0,0,0
6697,chore(deps-dev): bump express from 4.18.2 to 4.20.0,dependabot,1,0,0
6694,[Chore] Update sponsor block,github-actions,0,0,0
6693,chore(deps): bump the github-actions group with 8 updates,dependabot,5,0,0
6691,[Chore] Update sponsor block,github-actions,0,0,0
6687,[Chore] Update sponsor block,github-actions,0,0,0
6684,[Chore] Update sponsor block,github-actions,0,0,0
6683,Group all GitHub Actions updates into a single larger pull request,cclauss,3,0,1
6682,[Chore] Update sponsor block,github-actions,0,0,0
6680,fix: allow passing a callback as paramsSerializer to buildURL,guuido,3,1,4
6678,[Chore] Update sponsor block,github-actions,0,0,0
6672,Update gulpfile.js,Cgarg547,0,4,1
6668,fix(core): fixed config merging bug,Aakash-Rana,4,0,2
6666,[Chore] Update sponsor block,github-actions,0,0,0
6661,fix(http): send minimal end multipart boundary,igstan,1,0,1
6652,[Chore] Update sponsor block,github-actions,0,0,0
6650,Create AXIOS-project,7908837174,1,0,0
6648,[Chore] Update sponsor block,github-actions,0,0,0
6646,[Chore] Update sponsor block,github-actions,0,0,0
6644,fix: fixed width form to not shrink after 'Send Request' button is cl…,echelonnought,2,0,2
6642,[Chore] Update sponsor block,github-actions,0,0,0
6640,chore: readme,jasonsaayman,0,0,0
6637,Update server.js,shrivalidutt,3,0,1
6634,fix: use `globalThis.TextEncoder` when available,kasperisager,2,0,0
6633,Add Node.js 22 to CI version matrix,stscoundrel,2,0,0
